timestamp,open,high,low,close,volume
2026-01-05 09:30:00,6000.00,6000.03,5999.87,5999.90,1521
2026-01-05 09:31:00,5999.90,6000.82,5997.53,5998.46,1178
2026-01-05 09:32:00,5998.46,6002.81,5996.80,6001.15,1290
2026-01-05 09:33:00,6001.15,6001.19,5999.52,5999.56,1118
2026-01-05 09:34:00,5999.56,6002.06,5999.35,6001.86,1022
2026-01-05 09:35:00,6001.86,6003.74,5998.22,6000.10,1099
2026-01-05 09:36:00,6000.10,6000.28,5998.34,5998.52,1166
2026-01-05 09:37:00,5998.52,5999.34,5995.78,5996.60,1074
2026-01-05 09:38:00,5996.60,5997.19,5992.65,5993.25,1138
2026-01-05 09:39:00,5993.25,5996.87,5992.35,5995.97,1009
2026-01-05 09:40:00,5995.97,5996.11,5992.39,5992.53,1050
2026-01-05 09:41:00,5992.53,5993.14,5989.23,5989.85,1113
2026-01-05 09:42:00,5989.85,5990.19,5988.01,5988.36,1041
2026-01-05 09:43:00,5988.36,5989.58,5987.19,5988.41,1087
2026-01-05 09:44:00,5988.41,5988.68,5982.88,5983.15,1116
2026-01-05 09:45:00,5983.15,5983.46,5975.44,5975.75,1013
2026-01-05 09:46:00,5975.75,5976.69,5970.88,5971.82,1066
2026-01-05 09:47:00,5971.82,5974.83,5971.49,5974.51,1253
2026-01-05 09:48:00,5974.51,5974.89,5972.39,5972.78,1243
2026-01-05 09:49:00,5972.78,5972.93,5970.44,5970.60,1242
2026-01-05 09:50:00,5970.60,5971.05,5970.06,5970.51,1040
2026-01-05 09:51:00,5970.51,5973.63,5969.67,5972.79,1100
2026-01-05 09:52:00,5972.79,5975.99,5972.39,5975.59,1137
2026-01-05 09:53:00,5975.59,5977.44,5970.46,5972.30,1240
2026-01-05 09:54:00,5972.30,5978.25,5971.28,5977.23,1047
2026-01-05 09:55:00,5977.23,5979.66,5976.42,5978.85,1407
2026-01-05 09:56:00,5978.85,5979.00,5978.19,5978.34,1030
2026-01-05 09:57:00,5978.34,5978.49,5976.63,5976.78,1010
2026-01-05 09:58:00,5976.78,5980.94,5974.71,5978.87,1012
2026-01-05 09:59:00,5978.87,5980.34,5976.58,5978.06,1027
2026-01-05 10:00:00,5978.06,5978.54,5972.30,5972.78,1179
2026-01-05 10:01:00,5972.78,5973.20,5966.85,5967.28,1038
2026-01-05 10:02:00,5967.28,5967.46,5963.98,5964.17,1080
2026-01-05 10:03:00,5964.17,5964.22,5959.57,5959.63,1206
2026-01-05 10:04:00,5959.63,5960.29,5957.68,5958.34,1225
2026-01-05 10:05:00,5958.34,5960.51,5958.02,5960.19,1338
2026-01-05 10:06:00,5960.19,5963.75,5959.68,5963.24,1168
2026-01-05 10:07:00,5963.24,5964.29,5963.23,5964.28,1339
2026-01-05 10:08:00,5964.28,5965.49,5960.31,5961.52,1060
2026-01-05 10:09:00,5961.52,5961.91,5961.01,5961.40,1103
2026-01-05 10:10:00,5961.40,5962.26,5958.52,5959.38,1037
2026-01-05 10:11:00,5959.38,5962.74,5959.10,5962.46,1102
2026-01-05 10:12:00,5962.46,5963.03,5961.45,5962.02,1015
2026-01-05 10:13:00,5962.02,5969.26,5961.75,5968.98,1076
2026-01-05 10:14:00,5968.98,5969.07,5966.22,5966.31,1210
2026-01-05 10:15:00,5966.31,5966.94,5965.53,5966.15,1020
2026-01-05 10:16:00,5966.15,5967.01,5961.17,5962.02,1032
2026-01-05 10:17:00,5962.02,5962.40,5960.24,5960.62,1113
2026-01-05 10:18:00,5960.62,5962.00,5960.55,5961.93,1037
2026-01-05 10:19:00,5961.93,5967.63,5961.69,5967.38,1033
2026-01-05 10:20:00,5967.38,5967.49,5964.50,5964.61,1211
2026-01-05 10:21:00,5964.61,5966.08,5963.00,5964.46,1078
2026-01-05 10:22:00,5964.46,5964.80,5963.57,5963.90,1098
2026-01-05 10:23:00,5963.90,5964.03,5962.40,5962.53,1027
2026-01-05 10:24:00,5962.53,5963.58,5959.05,5960.10,1158
2026-01-05 10:25:00,5960.10,5963.74,5959.61,5963.25,1245
2026-01-05 10:26:00,5963.25,5963.80,5957.98,5958.54,1084
2026-01-05 10:27:00,5958.54,5966.18,5957.17,5964.82,1075
2026-01-05 10:28:00,5964.82,5967.11,5964.59,5966.88,1065
2026-01-05 10:29:00,5966.88,5971.12,5966.08,5970.31,1111
2026-01-05 10:30:00,5970.31,5972.57,5969.61,5971.87,1159
2026-01-05 10:31:00,5971.87,5975.63,5971.32,5975.09,1178
2026-01-05 10:32:00,5975.09,5977.22,5973.97,5976.10,1014
2026-01-05 10:33:00,5976.10,5976.31,5970.75,5970.96,1069
2026-01-05 10:34:00,5970.96,5971.81,5969.16,5970.02,1059
2026-01-05 10:35:00,5970.02,5970.35,5968.57,5968.90,1072
2026-01-05 10:36:00,5968.90,5969.18,5967.52,5967.81,1023
2026-01-05 10:37:00,5967.81,5971.72,5967.49,5971.40,1007
2026-01-05 10:38:00,5971.40,5971.88,5969.23,5969.71,1104
2026-01-05 10:39:00,5969.71,5969.86,5967.29,5967.44,1389
2026-01-05 10:40:00,5967.44,5974.16,5966.29,5973.01,1081
2026-01-05 10:41:00,5973.01,5973.39,5969.00,5969.38,1103
2026-01-05 10:42:00,5969.38,5972.12,5969.18,5971.91,1219
2026-01-05 10:43:00,5971.91,5974.57,5971.24,5973.90,1235
2026-01-05 10:44:00,5973.90,5980.93,5973.64,5980.68,1119
2026-01-05 10:45:00,5980.68,5980.80,5979.73,5979.85,1139
2026-01-05 10:46:00,5979.85,5980.02,5977.51,5977.68,1153
